phase,intensity,focus,energyLevel,morning_duration,morning_activity1_name,morning_activity1_type,morning_activity1_benefits,morning_activity2_name,morning_activity2_type,morning_activity2_benefits,morning_notes,evening_duration,evening_activity1_name,evening_activity1_type,evening_activity1_benefits,evening_notes,avoidActivities,recommendedFor,equipmentNeeded,hydrationTips,safetyTips,recoveryTips
Menstrual,Low,"Pain relief, Relaxation, Blood flow",Low,15 min,"Gentle Yoga (Child's Pose, Cat-Cow)",Yoga,"Eases cramps, Improves blood flow, Relaxes muscles",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Focus on breath awareness.,15 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Keep it light and enjoyable.,"Jumping exercises, Twisting poses, High-impact aerobics","Cramps, Fatigue, Mood swings",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,Low,"Core stability, Cardio endurance, Recovery",Medium,15 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Avoid inversion poses or heavy stretching.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"Contact sports, Extreme HIIT, Overhead presses","PMS symptoms, Breast tenderness, Headaches","Yoga mat, foam roller","Drink water before and after exercise, Add electrolytes if needed","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Ovulatory,High,"Endurance, Strength, Hormone balance",Medium,20 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Use props for support.,10 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","PMS symptoms, Breast tenderness, Headaches","Yoga mat, foam roller","Drink water before and after exercise, Add electrolytes if needed","Avoid overexertion, Rest if you feel dizzy","Apply warm compress post-exercise, Stretch gently before sleep"
Follicular,High,"Endurance, Strength, Hormone balance",High,25 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Use props for support.,15 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Stop immediately if you feel pain or fatigue.,"High-intensity cardio, Heavy lifting, Long runs","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Luteal,High,"Energy boost, Flexibility, Mood enhancement",High,25 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Pilates Core,Pilates,"Supports posture, Reduces bloating",Avoid inversion poses or heavy stretching.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Pair with calming music.,"Jumping exercises, Twisting poses, High-impact aerobics","Cramps, Fatigue, Mood swings","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Ovulatory,Low,"Energy boost, Flexibility, Mood enhancement",Medium,20 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Use props for support.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"Contact sports, Extreme HIIT, Overhead presses","PMS symptoms, Breast tenderness, Headaches","Yoga mat, foam roller","Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Follicular,Medium,"Endurance, Strength, Hormone balance",Medium,15 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Focus on breath awareness.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","Bloating, Energy dips, Joint stiffness","Yoga mat, foam roller","Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Ovulatory,Low,"Core stability, Cardio endurance, Recovery",High,25 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Pilates Core,Pilates,"Supports posture, Reduces bloating",Avoid inversion poses or heavy stretching.,15 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Follicular,Low,"Endurance, Strength, Hormone balance",Medium,25 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Pilates Core,Pilates,"Supports posture, Reduces bloating",Use props for support.,10 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Follicular
