State,Region,Symptom,RecommendedFood,Avoid,Nutrients,BloodGroupAdjustment,Season,Tip
West Bengal,East,fatigue,"Raw Egg Yolk with Sesame Oil, Peppermint water, Spinach Methi Greens","Milk, Heavy fried foods","Vitamin C, Fiber",AB+: Balance with fermented foods,winter,Cucumber and hydration focus
Odisha,East,fatigue,"Karupettikurukku Black Sesame Preparation, Banana","Carbonated drinks, Rice",Antioxidants,AB+: Balance with fermented foods,summer,Hydration focus
Jharkhand,East,cramps,"Sarkkarachoru, Plenty of Water",Rice,"Protein, Vitamin E, Iron",B+: Emphasize whole grains and vegetables,summer,Light meals
Assam,Northeast,fatigue,"Vegetable Rice, Raw Banana Soup","Red meat, Heavy fried foods","Vitamin C, Magnesium",B+: Emphasize whole grains and vegetables,summer,Iron-rich greens
Delhi,North,bloating,"Hot Tea, Sesame Seeds Nuts","Onion, Rice","Protein, Vitamin E",B+: Emphasize whole grains and vegetables,summer,Add coconut water for hydration
Haryana,North,heavy bleeding,"Avilvilayichathu Rice Flakes Mixture, Cucumber Coconut Water, Ulunthu Kali Urad Dhal Porridge","Red meat, Non-veg","Vitamin E, Vitamins A C B1, Calcium",O+: Increase iron intake from leafy greens and lentils,winter,Cucumber for hydration
Punjab,North,bloating,Ragi roti,"Curd, Red meat",Magnesium,AB+: Balance with fermented foods,winter,Warm soups
Himachal Pradesh,North,pain,"Banana, Uluva Verakiyath Fenugreek Porridge, Seem Paal Bovine Colostrum","Chicken, Milk products in excess",Omega-3,O+: Increase iron intake from leafy greens and lentils,summer,Warm dosa variations
Jammu & Kashmir,North,fatigue,Ragi Porridge,Raw vegetables,"Potassium, Vitamin E, Magnesium",A+: Focus on lighter proteins like tofu,winter,Hydration focus
Kerala,South,fatigue,"Karupettikurukku Black Sesame Preparation, Seem Paal Bovine Colostrum",Potatoes,"Zinc, Fiber, Magnesium",A+: Focus on lighter proteins like tofu,summer,Millet porridge
Tamil Nadu,South,fatigue,"Sarkkarachoru, Dark chocolate","Lassi, High salt",Calcium,O+: Increase iron intake from leafy greens and lentils,summer,Seed mixes
Karnataka,South,pain,"Dal with Greens, Arissi Puttu Rice Flour Coconut","Sour foods, Raw vegetables","Vitamin C, Vitamin E, Caffeine",O+: Increase iron intake from leafy greens and lentils,winter,Cucumber for hydration
Andhra Pradesh,South,cramps,"Raw Egg Yolk with Sesame Oil, Tea with Ghee","Heavy fried foods, Cabbage","Omega-3, Phytoestrogens, Zinc",B+: Emphasize whole grains and vegetables,summer,Warm spices for digestion
Telangana,South,fatigue,Arissi Puttu Rice Flour Coconut,"Onion, Sugarcane",Magnesium,AB+: Balance with fermented foods,winter,Cucumber and hydration focus
Maharashtra,West,pain,"Plenty of Water, Uluva Verakiyath Fenugreek Porridge","High salt, Potatoes",Potassium,A+: Focus on lighter proteins like tofu,summer,Warm spices for digestion
Gujarat,West,fatigue,"Vegetable Rice, Raw Banana Soup, Uluva Verakiyath Fenugreek Porridge","Carbonated drinks, Cabbage",Calcium,O+: Increase iron intake from leafy greens and lentils,summer,Light meals
Rajasthan,West,fatigue,Black Sesame with Cane Sugar,"High salt, Lassi",Vitamin E,AB+: Balance with fermented foods,winter,Seasonal fruits for vitamin C
Madhya Pradesh,Central,bloating,"Vegetable Rice, Ginger tea, Finger Millet Idli Ragi","Rice, Spicy foods","Phytoestrogens, Folate",AB+: Balance with fermented foods,winter,Urban access to fresh produce
Uttar Pradesh,North,pain,"Sarkkarachoru, Banana Ragi Roti",High salt,Caffeine,O+: Increase iron intake from leafy greens and lentils,summer,Cucumber for hydration
Bihar,East,pain,"Dark chocolate, Finger Millet Idli Ragi, Millets Bajra Porridge",Raw vegetables,Fiber,O+: Increase iron intake from leafy greens and lentils,summer,Coconut water
West Bengal,East,fatigue,"Hot Tea, Raw Egg Yolk with Sesame Oil, Black Sesame with Cane Sugar","Lassi, Onion","Protein, Calcium, Iron",AB+: Balance with fermented foods,summer,Local affordable greens
Odisha,East,bloating,Ulunthu Kali Urad Dhal Porridge,Spicy foods,"Zinc, Vitamin E",A+: Focus on lighter proteins like tofu,winter,Millet porridge
Jharkhand,East,pain,Black Sesame with Cane Sugar,"Heavy fats, Curd",Caffeine,B+: Emphasize whole grains and vegetables,summer,Avoid tamarind-based curries
Assam,Northeast,cramps,Light Fish Curry,"Non-veg, Heavy fried foods",Protein,O+: Increase iron intake from leafy greens and lentils,winter,Hydrate with herbal teas
Delhi,North,fatigue,"Vegetable Rice, Ulunthu Kali Urad Dhal Porridge, Parupu Urundai Toor Dal Balls","Cabbage, Sour foods",Omega-3,AB+: Balance with fermented foods,summer,Plenty of water
Haryana,North,fatigue,"Finger Millet Idli Ragi, Raw Banana Soup, Dark chocolate",Onion,"Magnesium, Protein, Vitamin E",AB+: Balance with fermented foods,summer,Warm tapioca dishes
Punjab,North,heavy bleeding,"Ragi Porridge, Dark chocolate, Light Fish Curry",High salt,"Caffeine, Fiber",O+: Increase iron intake from leafy greens and lentils,summer,Cucumber for hydration
Himachal Pradesh,North,pain,Ragi Porridge,"Red meat, Non-veg",Omega-3,B+: Emphasize whole grains and vegetables,winter,Warm soups
Jammu & Kashmir,North,fatigue,"Parupu Urundai Toor Dal Balls, Arissi Puttu Rice Flour Coconut","Potatoes, Milk products in excess","Antioxidants, Caffeine",A+: Focus on lighter proteins like tofu,summer,Coconut water
Kerala,South,bloating,Dark chocolate,"Pickles, Processed foods","Vitamin C, Iron",B+: Emphasize whole grains and vegetables,summer,Cucumber for hydration
Tamil Nadu,South,bloating,"Ragi roti, Ulunthu Kali Urad Dhal Porridge, Seem Paal Bovine Colostrum","Lassi, Heavy fats","Omega-3, Vitamin C, Fiber",O+: Increase iron intake from leafy greens and lentils,winter,Seed mixes
Karnataka,South,fatigue,"Dark chocolate, Arissi Puttu Rice Flour Coconut",Onion,"Vitamins A C B1, Magnesium",A+: Focus on lighter proteins like tofu,winter,Hydrate with herbal teas
Andhra Pradesh,South,fatigue,"Ragi roti, Banana Ragi Roti",Potatoes,Iron,A+: Focus on lighter proteins like tofu,summer,Pair with vitamin C fruits
Telangana,South,heavy bleeding,"Plenty of Water, Lentils Dal, Peppermint water","Tamarind, Curd",Vitamin C,B+: Emphasize whole grains and vegetables,summer,Warm soups
Maharashtra,West,heavy bleeding,"Peppermint water, Palm Jaggery Porridge",Curd,"Vitamin C, Antioxidants, Zinc",A+: Focus on lighter proteins like tofu,summer,Urban access to fresh produce
Gujarat,West,fatigue,"Banana, Karupettikurukku Black Sesame Preparation, Ragi Porridge",Processed foods,"Vitamin C, Antioxidants, Caffeine",AB+: Balance with fermented foods,summer,Hydrate with herbal teas
Rajasthan,West,fatigue,"Dal with Greens, Arissi Puttu Rice Flour Coconut, Avilvilayichathu Rice Flakes Mixture","Potatoes, Chicken","Protein, Iron",AB+: Balance with fermented foods,summer,Light meals
Madhya Pradesh,Central,cramps,"Finger Millet Idli Ragi, Black Sesame with Cane Sugar, Arissi Puttu Rice Flour Coconut","Non-veg, Cold foods","Magnesium, Antioxidants, Folate",B+: Emphasize whole grains and vegetables,winter,Pair with vitamin C fruits
Uttar Pradesh,North,cramps,Leafy Greens,Potatoes,"Calcium, Caffeine",AB+: Balance with fermented foods,summer,Hot beverages for warmth
Bihar,East,pain,"Ragi Porridge, Arissi Puttu Rice Flour Coconut, Ulunthu Kali Urad Dhal Porridge","Heavy fats, Processed foods","Calcium, Magnesium",B+: Emphasize whole grains and vegetables,winter,Monsoon hydration
West Bengal,East,cramps,"Sesame Seeds Nuts, Banana",Chicken,"Folate, Potassium, Vitamin C",B+: Emphasize whole grains and vegetables,winter,Warm tapioca dishes
Odisha,East,fatigue,"Ragi Porridge, Arissi Puttu Rice Flour Coconut",Sugarcane,Calcium,B+: Emphasize whole grains and vegetables,winter,Warm soups
Jharkhand,East,pain,"Sesame Seeds Nuts, Palm Jaggery Porridge","Curd, Potatoes","Potassium, Vitamins A C B1",O+: Increase iron intake from leafy greens and lentils,winter,Light meals
Assam,Northeast,pain,"Raw Banana Soup, Dal with Greens",Carbonated drinks,"Calcium, Vitamins A C B1",A+: Focus on lighter proteins like tofu,winter,Cucumber for hydration
Delhi,North,heavy bleeding,Sesame Seeds Nuts,Sour foods,"Calcium, Folate",B+: Emphasize whole grains and vegetables,winter,Hydrate with herbal teas
Haryana,North,bloating,"Sarkkarachoru, Millets Bajra Porridge",Pickles,"Iron, Potassium, Vitamin E",A+: Focus on lighter proteins like tofu,summer,Soups with spices
Punjab,North,heavy bleeding,"Plenty of Water, Light Fish Curry","Cold foods, Sugarcane","Vitamins A C B1, Iron",AB+: Balance with fermented foods,summer,Prefer warm sesame seed soups
Himachal Pradesh,North,fatigue,"Leafy Greens, Ulunthu Kali Urad Dhal Porridge, Black Sesame with Cane Sugar","Carbonated drinks, Milk",Magnesium,B+: Emphasize whole grains and vegetables,winter,Avoid tamarind-based curries
Jammu & Kashmir,North,heavy bleeding,"Hot Tea, Black Sesame with Cane Sugar","Curd, Sugarcane",Vitamin E,AB+: Balance with fermented foods,winter,Hydration focus
Kerala,South,heavy bleeding,"Lentils Dal, Light Fish Curry","Rice, Potatoes",Caffeine,B+: Emphasize whole grains and vegetables,summer,Warm dosa variations
Tamil Nadu,South,pain,"Ulunthu Kali Urad Dhal Porridge, Finger Millet Idli Ragi, Raw Egg Yolk with Sesame Oil",Potatoes,"Omega-3, Caffeine, Zinc",AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Karnataka,South,fatigue,"Tea with Ghee, Raw Banana Soup, Ginger tea",Sour foods,"Vitamins A C B1, Zinc, Protein",A+: Focus on lighter proteins like tofu,summer,Urban access to fresh produce
Andhra Pradesh,South,heavy bleeding,"Leafy Greens, Ragi Porridge, Parupu Urundai Toor Dal Balls","Spicy foods, Rice","Vitamin E, Magnesium, Fiber",AB+: Balance with fermented foods,winter,Coconut water
Telangana,South,fatigue,"Raw Banana Soup, Avilvilayichathu Rice Flakes Mixture",Red meat,Folate,A+: Focus on lighter proteins like tofu,winter,Avoid tamarind-based curries
Maharashtra,West,bloating,Peppermint water,"Cold foods, High salt","Folate, Vitamin C",AB+: Balance with fermented foods,summer,Light meals
Gujarat,West,heavy bleeding,"Spinach Methi Greens, Dark chocolate, Sesame Seeds Nuts",Curd,"Protein, Phytoestrogens, Magnesium",A+: Focus on lighter proteins like tofu,summer,Hydrate with herbal teas
Rajasthan,West,cramps,"Ginger tea, Cucumber Coconut Water, Banana Ragi Roti",Sour foods,"Vitamin E, Vitamins A C B1, Potassium",O+: Increase iron intake from leafy greens and lentils,summer,Cucumber and hydration focus
Madhya Pradesh,Central,bloating,"Sesame Seeds Nuts, Ginger tea, Avilvilayichathu Rice Flakes Mixture",Raw vegetables,Folate,AB+: Balance with fermented foods,summer,Monsoon hydration
Uttar Pradesh,North,pain,"Ragi roti, Banana Ragi Roti","Milk products in excess, Curd","Vitamin E, Caffeine",O+: Increase iron intake from leafy greens and lentils,winter,Seed mixes
Bihar,East,pain,"Spinach Methi Greens, Uluva Verakiyath Fenugreek Porridge","Red meat, Milk products in excess","Calcium, Zinc, Antioxidants",O+: Increase iron intake from leafy greens and lentils,winter,Coconut water
West Bengal,East,cramps,"Arissi Puttu Rice Flour Coconut, Seem Paal Bovine Colostrum",Lassi,"Vitamin E, Vitamins A C B1",A+: Focus on lighter proteins like tofu,winter,Prefer warm sesame seed soups
Odisha,East,heavy bleeding,Finger Millet Idli Ragi,"Rice, Red meat","Phytoestrogens, Folate",AB+: Balance with fermented foods,winter,Cucumber for hydration
Jharkhand,East,bloating,Sarkkarachoru,Spicy foods,"Fiber, Vitamin E, Folate",AB+: Balance with fermented foods,summer,Local affordable greens
Assam,Northeast,cramps,"Seem Paal Bovine Colostrum, Uluva Verakiyath Fenugreek Porridge, Parupu Urundai Toor Dal Balls",Red meat,"Antioxidants, Potassium, Protein",AB+: Balance with fermented foods,winter,Coconut water
Delhi,North,heavy bleeding,Dal with Greens,"Processed foods, Chicken","Potassium, Protein, Vitamin C",AB+: Balance with fermented foods,summer,Cucumber for hydration
Haryana,North,fatigue,"Dal with Greens, Sesame Seeds Nuts","Heavy fried foods, Curd",Calcium,O+: Increase iron intake from leafy greens and lentils,summer,Urban access to fresh produce
Punjab,North,heavy bleeding,Uluva Verakiyath Fenugreek Porridge,Heavy fried foods,Fiber,AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Himachal Pradesh,North,heavy bleeding,Ulunthu Kali Urad Dhal Porridge,"Rice, Onion","Magnesium, Zinc",O+: Increase iron intake from leafy greens and lentils,summer,Light meals
Jammu & Kashmir,North,pain,Ulunthu Kali Urad Dhal Porridge,"Cabbage, Rice","Folate, Caffeine",A+: Focus on lighter proteins like tofu,winter,Warm tapioca dishes
Kerala,South,bloating,Parupu Urundai Toor Dal Balls,"Potatoes, Curd","Iron, Vitamin E, Antioxidants",O+: Increase iron intake from leafy greens and lentils,summer,Iron-rich greens
Tamil Nadu,South,pain,Sarkkarachoru,"Carbonated drinks, Milk",Antioxidants,AB+: Balance with fermented foods,winter,Soups with spices
Karnataka,South,fatigue,"Banana, Raw Egg Yolk with Sesame Oil, Arissi Puttu Rice Flour Coconut","Lassi, Cold foods","Potassium, Vitamin C",A+: Focus on lighter proteins like tofu,winter,Hydration focus
Andhra Pradesh,South,pain,"Uluva Verakiyath Fenugreek Porridge, Karupettikurukku Black Sesame Preparation, Arissi Puttu Rice Flour Coconut","Non-veg, Milk","Folate, Iron, Fiber",A+: Focus on lighter proteins like tofu,winter,Add coconut water for hydration
Telangana,South,bloating,"Peppermint water, Palm Jaggery Porridge",Lassi,"Phytoestrogens, Magnesium, Antioxidants",A+: Focus on lighter proteins like tofu,summer,Cucumber for hydration
Maharashtra,West,heavy bleeding,Millets Bajra Porridge,Red meat,Omega-3,AB+: Balance with fermented foods,winter,Pair with vitamin C fruits
Gujarat,West,bloating,"Sesame Seeds Nuts, Parupu Urundai Toor Dal Balls, Spinach Methi Greens","Tamarind, Carbonated drinks","Magnesium, Folate",B+: Emphasize whole grains and vegetables,summer,Coconut water
Rajasthan,West,fatigue,Seem Paal Bovine Colostrum,"Chicken, Milk","Folate, Phytoestrogens",AB+: Balance with fermented foods,winter,Seed mixes
Madhya Pradesh,Central,bloating,"Avilvilayichathu Rice Flakes Mixture, Raw Banana Soup, Light Fish Curry","Tamarind, Red meat",Protein,AB+: Balance with fermented foods,summer,Pair with vitamin C fruits
Uttar Pradesh,North,fatigue,Arissi Puttu Rice Flour Coconut,Milk,Vitamin C,B+: Emphasize whole grains and vegetables,summer,Leafy greens for iron
Bihar,East,pain,"Spinach Methi Greens, Hot Tea, Cucumber Coconut Water",Tamarind,"Zinc, Vitamin C, Calcium",B+: Emphasize whole grains and vegetables,summer,Plenty of water
West Bengal,East,bloating,Sesame Seeds Nuts,Rice,"Magnesium, Antioxidants",B+: Emphasize whole grains and vegetables,summer,Avoid tamarind-based curries
Odisha,East,pain,"Ragi Porridge, Hot Tea",Cold foods,Omega-3,AB+: Balance with fermented foods,summer,Include vallarai leaves for energy
Jharkhand,East,cramps,"Spinach Methi Greens, Cucumber Coconut Water, Vegetable Rice",Heavy fried foods,Protein,B+: Emphasize whole grains and vegetables,winter,Urban access to fresh produce
Assam,Northeast,cramps,"Light Fish Curry, Dal with Greens, Uluva Verakiyath Fenugreek Porridge",Milk,"Protein, Calcium",AB+: Balance with fermented foods,summer,Leafy greens for iron
Delhi,North,fatigue,Lentils Dal,"Cold foods, Sugarcane","Iron, Omega-3",O+: Increase iron intake from leafy greens and lentils,winter,Avoid tamarind-based curries
Haryana,North,bloating,Banana Ragi Roti,Curd,"Fiber, Potassium",O+: Increase iron intake from leafy greens and lentils,summer,Warm tapioca dishes
Punjab,North,heavy bleeding,"Palm Jaggery Porridge, Light Fish Curry",Red meat,"Calcium, Vitamin E",B+: Emphasize whole grains and vegetables,summer,Add coconut water for hydration
Himachal Pradesh,North,cramps,"Arissi Puttu Rice Flour Coconut, Leafy Greens",Raw vegetables,Iron,O+: Increase iron intake from leafy greens and lentils,summer,Monsoon hydration
Jammu & Kashmir,North,heavy bleeding,Tea with Ghee,Chicken,Folate,B+: Emphasize whole grains and vegetables,winter,Avoid tamarind-based curries
Kerala,South,fatigue,Tea with Ghee,"Carbonated drinks, Cold foods","Caffeine, Magnesium",B+: Emphasize whole grains and vegetables,summer,Local affordable greens
Tamil Nadu,South,bloating,Avilvilayichathu Rice Flakes Mixture,Raw vegetables,Phytoestrogens,A+: Focus on lighter proteins like tofu,summer,Light meals
Karnataka,South,heavy bleeding,"Black Sesame with Cane Sugar, Sesame Seeds Nuts, Uluva Verakiyath Fenugreek Porridge","Carbonated drinks, Raw vegetables",Calcium,A+: Focus on lighter proteins like tofu,winter,Plenty of water
Andhra Pradesh,South,cramps,Banana Ragi Roti,Raw vegetables,"Vitamin E, Potassium",AB+: Balance with fermented foods,winter,Coconut water
Telangana,South,bloating,"Hot Tea, Spinach Methi Greens, Ginger tea",Rice,"Omega-3, Potassium",A+: Focus on lighter proteins like tofu,summer,Seasonal fruits for vitamin C
Maharashtra,West,bloating,Ginger tea,Non-veg,"Vitamins A C B1, Calcium",O+: Increase iron intake from leafy greens and lentils,winter,Hot beverages for warmth
Gujarat,West,heavy bleeding,"Raw Banana Soup, Finger Millet Idli Ragi, Plenty of Water","Non-veg, High salt","Fiber, Potassium",AB+: Balance with fermented foods,winter,Plenty of water
Rajasthan,West,cramps,"Banana, Seem Paal Bovine Colostrum",Tamarind,"Iron, Omega-3",AB+: Balance with fermented foods,summer,Warm soups
Madhya Pradesh,Central,fatigue,"Leafy Greens, Dark chocolate, Avilvilayichathu Rice Flakes Mixture",Red meat,Omega-3,O+: Increase iron intake from leafy greens and lentils,summer,Prefer warm sesame seed soups
Uttar Pradesh,North,heavy bleeding,"Finger Millet Idli Ragi, Dal with Greens, Spinach Methi Greens",Sour foods,Protein,A+: Focus on lighter proteins like tofu,summer,Avoid tamarind-based curries
Bihar,East,bloating,Leafy Greens,"Pickles, Red meat","Fiber, Omega-3, Magnesium",A+: Focus on lighter proteins like tofu,winter,Warm spices for digestion
West Bengal,East,cramps,"Avilvilayichathu Rice Flakes Mixture, Peppermint water",Cabbage,"Phytoestrogens, Magnesium",A+: Focus on lighter proteins like tofu,summer,Seed mixes
Odisha,East,heavy bleeding,"Raw Banana Soup, Banana","Non-veg, Onion","Vitamin C, Magnesium",B+: Emphasize whole grains and vegetables,summer,Warm tapioca dishes
Jharkhand,East,cramps,Ragi Porridge,Cabbage,Calcium,O+: Increase iron intake from leafy greens and lentils,winter,Seasonal fruits for vitamin C
Assam,Northeast,pain,"Peppermint water, Banana, Hot Tea","Cabbage, Cold foods","Folate, Fiber, Omega-3",O+: Increase iron intake from leafy greens and lentils,winter,Coconut water
Delhi,North,cramps,"Ulunthu Kali Urad Dhal Porridge, Parupu Urundai Toor Dal Balls","Onion, Potatoes",Folate,AB+: Balance with fermented foods,winter,Iron-rich greens
Haryana,North,pain,Seem Paal Bovine Colostrum,"Rice, Pickles","Protein, Caffeine",A+: Focus on lighter proteins like tofu,summer,Hydration focus
Punjab,North,bloating,Lentils Dal,Processed foods,"Protein, Caffeine",B+: Emphasize whole grains and vegetables,winter,Pair with vitamin C fruits
Himachal Pradesh,North,heavy bleeding,"Karupettikurukku Black Sesame Preparation, Avilvilayichathu Rice Flakes Mixture, Raw Egg Yolk with Sesame Oil",Raw vegetables,"Omega-3, Protein",O+: Increase iron intake from leafy greens and lentils,summer,Light meals
Jammu & Kashmir,North,fatigue,Uluva Verakiyath Fenugreek Porridge,Milk products in excess,Magnesium,AB+: Balance with fermented foods,winter,Hydrate with herbal teas
Kerala,South,heavy bleeding,Finger Millet Idli Ragi,"Milk products in excess, Lassi",Potassium,AB+: Balance with fermented foods,summer,Urban access to fresh produce
Tamil Nadu,South,pain,"Tea with Ghee, Arissi Puttu Rice Flour Coconut, Vegetable Rice",Heavy fried foods,Folate,A+: Focus on lighter proteins like tofu,winter,Soups with spices
Karnataka,South,fatigue,Hot Tea,"Lassi, Cabbage","Magnesium, Fiber",A+: Focus on lighter proteins like tofu,winter,Soups with spices
Andhra Pradesh,South,cramps,Light Fish Curry,"Carbonated drinks, Tamarind",Vitamins A C B1,AB+: Balance with fermented foods,winter,Add coconut water for hydration
Telangana,South,fatigue,Ragi roti,"Carbonated drinks, Chicken","Zinc, Iron",AB+: Balance with fermented foods,summer,Prefer warm sesame seed soups
Maharashtra,West,heavy bleeding,"Vegetable Rice, Millets Bajra Porridge",Tamarind,Calcium,O+: Increase iron intake from leafy greens and lentils,summer,Warm soups
Gujarat,West,pain,Sesame Seeds Nuts,"Potatoes, Heavy fried foods","Magnesium, Vitamin C",B+: Emphasize whole grains and vegetables,summer,Coconut water
Rajasthan,West,bloating,Raw Banana Soup,"Red meat, Onion","Potassium, Folate, Antioxidants",O+: Increase iron intake from leafy greens and lentils,winter,Soups with spices
Madhya Pradesh,Central,bloating,Palm Jaggery Porridge,Cabbage,"Iron, Magnesium",B+: Emphasize whole grains and vegetables,summer,Include vallarai leaves for energy
Uttar Pradesh,North,bloating,"Lentils Dal, Millets Bajra Porridge, Avilvilayichathu Rice Flakes Mixture",Chicken,"Vitamin E, Iron",O+: Increase iron intake from leafy greens and lentils,winter,Pair with vitamin C fruits
Bihar,East,cramps,"Banana Ragi Roti, Sesame Seeds Nuts, Finger Millet Idli Ragi","Raw vegetables, Onion","Omega-3, Vitamin E, Folate",B+: Emphasize whole grains and vegetables,summer,Hydrate with herbal teas
West Bengal,East,pain,Ragi roti,"Cold foods, Sugarcane",Iron,B+: Emphasize whole grains and vegetables,winter,Warm spices for digestion
Odisha,East,fatigue,"Ulunthu Kali Urad Dhal Porridge, Avilvilayichathu Rice Flakes Mixture, Uluva Verakiyath Fenugreek Porridge","Spicy foods, Non-veg",Vitamin E,O+: Increase iron intake from leafy greens and lentils,winter,Millet porridge
Jharkhand,East,fatigue,"Black Sesame with Cane Sugar, Ragi Porridge, Tea with Ghee",Pickles,"Magnesium, Fiber, Phytoestrogens",O+: Increase iron intake from leafy greens and lentils,summer,Avoid tamarind-based curries
Assam,Northeast,fatigue,Dal with Greens,"Milk, Cold foods","Caffeine, Antioxidants",B+: Emphasize whole grains and vegetables,winter,Warm soups
Delhi,North,fatigue,"Hot Tea, Raw Banana Soup, Ulunthu Kali Urad Dhal Porridge",Heavy fried foods,"Iron, Protein",AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Haryana,North,cramps,"Peppermint water, Ragi Porridge","High salt, Cold foods",Omega-3,A+: Focus on lighter proteins like tofu,winter,Pair with vitamin C fruits
Punjab,North,fatigue,"Seem Paal Bovine Colostrum, Raw Banana Soup, Finger Millet Idli Ragi","Curd, Onion","Calcium, Vitamin C, Omega-3",A+: Focus on lighter proteins like tofu,winter,Leafy greens for iron
Himachal Pradesh,North,cramps,Ragi roti,Chicken,Vitamin C,A+: Focus on lighter proteins like tofu,winter,Hydrate with herbal teas
Jammu & Kashmir,North,bloating,"Spinach Methi Greens, Lentils Dal, Dal with Greens",Processed foods,"Potassium, Vitamin E",AB+: Balance with fermented foods,summer,Local affordable greens
Kerala,South,heavy bleeding,Finger Millet Idli Ragi,Carbonated drinks,"Vitamin C, Calcium",AB+: Balance with fermented foods,winter,Include vallarai leaves for energy
Tamil Nadu,South,heavy bleeding,"Leafy Greens, Tea with Ghee, Spinach Methi Greens",Cabbage,"Fiber, Caffeine, Vitamin C",B+: Emphasize whole grains and vegetables,summer,Local affordable greens
Karnataka,South,heavy bleeding,Uluva Verakiyath Fenugreek Porridge,Chicken,"Vitamin C, Vitamin E, Phytoestrogens",A+: Focus on lighter proteins like tofu,winter,Hydrate with herbal teas
Andhra Pradesh,South,heavy bleeding,Spinach Methi Greens,Raw vegetables,"Omega-3, Vitamin C, Iron",A+: Focus on lighter proteins like tofu,summer,Soups with spices
Telangana,South,pain,Sarkkarachoru,Milk products in excess,Vitamin C,AB+: Balance with fermented foods,summer,Warm spices for digestion
Maharashtra,West,heavy bleeding,"Peppermint water, Leafy Greens, Millets Bajra Porridge",Potatoes,"Omega-3, Calcium, Fiber",AB+: Balance with fermented foods,summer,Avoid tamarind-based curries
Gujarat,West,fatigue,"Ulunthu Kali Urad Dhal Porridge, Avilvilayichathu Rice Flakes Mixture","Carbonated drinks, Milk products in excess",Vitamin C,O+: Increase iron intake from leafy greens and lentils,winter,Prefer warm sesame seed soups
Rajasthan,West,cramps,"Lentils Dal, Raw Egg Yolk with Sesame Oil, Ragi Porridge",Non-veg,"Folate, Caffeine, Vitamin E",A+: Focus on lighter proteins like tofu,summer,Warm tapioca dishes
Madhya Pradesh,Central,fatigue,Ragi roti,Sugarcane,Protein,O+: Increase iron intake from leafy greens and lentils,winter,Soups with spices
Uttar Pradesh,North,cramps,"Hot Tea, Parupu Urundai Toor Dal Balls, Banana Ragi Roti",Sugarcane,Zinc,A+: Focus on lighter proteins like tofu,winter,Monsoon hydration
Bihar,East,fatigue,"Ginger tea, Karupettikurukku Black Sesame Preparation",Curd,"Phytoestrogens, Magnesium, Zinc",B+: Emphasize whole grains and vegetables,winter,Iron-rich greens
West Bengal,East,cramps,Banana,Potatoes,"Antioxidants, Folate",AB+: Balance with fermented foods,summer,Millet porridge
Odisha,East,cramps,"Cucumber Coconut Water, Light Fish Curry, Plenty of Water","Milk products in excess, Pickles","Zinc, Calcium",A+: Focus on lighter proteins like tofu,winter,Warm tapioca dishes
Jharkhand,East,fatigue,Sesame Seeds Nuts,"Onion, Lassi",Protein,AB+: Balance with fermented foods,winter,Hydrate with herbal teas
Assam,Northeast,pain,Sarkkarachoru,Non-veg,Magnesium,B+: Emphasize whole grains and vegetables,summer,Iron-rich greens
Delhi,North,pain,Plenty of Water,"Potatoes, Non-veg",Zinc,A+: Focus on lighter proteins like tofu,summer,Millet porridge
Haryana,North,fatigue,"Ragi roti, Banana","Carbonated drinks, Tamarind","Potassium, Calcium, Caffeine",B+: Emphasize whole grains and vegetables,winter,Iron-rich greens
Punjab,North,pain,"Karupettikurukku Black Sesame Preparation, Sesame Seeds Nuts, Palm Jaggery Porridge","Rice, Spicy foods",Vitamin C,O+: Increase iron intake from leafy greens and lentils,summer,Seed mixes
Himachal Pradesh,North,heavy bleeding,"Dark chocolate, Dal with Greens, Ragi Porridge",Processed foods,"Vitamin E, Fiber, Zinc",B+: Emphasize whole grains and vegetables,winter,Include vallarai leaves for energy
Jammu & Kashmir,North,cramps,"Parupu Urundai Toor Dal Balls, Raw Egg Yolk with Sesame Oil","Rice, Sugarcane","Phytoestrogens, Vitamin C, Zinc",AB+: Balance with fermented foods,summer,Cucumber and hydration focus
Kerala,South,pain,"Avilvilayichathu Rice Flakes Mixture, Dal with Greens",Non-veg,"Calcium, Antioxidants, Protein",B+: Emphasize whole grains and vegetables,winter,Avoid tamarind-based curries
Tamil Nadu,South,cramps,Ginger tea,Red meat,Vitamin C,A+: Focus on lighter proteins like tofu,summer,Warm spices for digestion
Karnataka,South,heavy bleeding,"Spinach Methi Greens, Cucumber Coconut Water",Heavy fats,Caffeine,O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Andhra Pradesh,South,cramps,Hot Tea,"Rice, Onion",Magnesium,O+: Increase iron intake from leafy greens and lentils,summer,Seasonal fruits for vitamin C
Telangana,South,cramps,"Sarkkarachoru, Raw Egg Yolk with Sesame Oil, Ginger tea",Heavy fats,"Potassium, Antioxidants, Vitamin C",O+: Increase iron intake from leafy greens and lentils,winter,Seed mixes
Maharashtra,West,heavy bleeding,Karupettikurukku Black Sesame Preparation,"Red meat, High salt",Potassium,A+: Focus on lighter proteins like tofu,summer,Pair with vitamin C fruits
